id;btag;wpid;kurs
762;2009-12-31;1243;50.00
763;2010-01-08;1282;4.39
764;2010-01-08;1283;4.42
765;2010-01-11;84;19.38
766;2010-01-11;107;77.86
767;2010-01-20;1284;4.09
770;2010-01-22;21;79.64
771;2010-01-25;853;48.75
772;2010-02-02;84;19.18
774;2010-02-02;1284;2.21
775;2010-02-09;1285;4.32
776;2010-02-12;1277;4.40
777;2010-02-19;1277;3.93
778;2010-02-22;1285;3.76
779;2010-02-25;857;62.20
780;2010-02-26;107;84.30
781;2010-02-26;27;44.49
782;2010-03-19;1282;5.00
783;2010-03-19;1283;5.00
785;2010-03-22;1281;100.50
787;2010-04-10;1281;102.96
788;2010-04-10;20;94.68
789;2010-04-23;857;62.85
793;2010-05-02;28;71.03
794;2010-05-06;853;47.93
795;2010-05-14;853;49.84
796;2010-05-14;28;74.74
798;2010-05-20;107;79.86
799;2010-05-26;107;77.13
800;2010-06-08;857;55.97
801;2010-06-25;857;54.97
802;2010-07-19;867;1.00
803;2010-07-19;862;1.02
804;2010-09-01;1243;63.44
805;2010-09-28;1274;27.52
806;2010-12-20;1275;132.33
807;2010-12-20;853;59.81
808;2010-12-20;863;161.83
809;2010-12-31;1243;42.64
810;2011-02-14;853;61.30
811;2011-03-01;1243;62.89
812;2011-04-01;1243;59.74
813;2011-05-01;1243;60.05
815;2011-05-02;863;166.60
818;2011-05-02;779;114.95
820;2011-05-02;866;53.70
821;2011-05-02;864;52.80
822;2011-06-01;1243;59.50
823;2011-06-20;864;45.39
824;2011-07-01;1243;58.09
825;2011-07-11;853;47.90
826;2011-07-14;28;93.69
827;2011-08-01;1243;59.80
828;2011-09-01;1243;59.80
829;2011-10-01;1243;48.76
831;2011-10-28;867;1.00
832;2011-11-01;1243;50.75
833;2011-11-25;866;39.78
834;2011-12-01;1243;51.74
835;2012-01-01;1243;51.01
836;2012-01-11;107;28.10
837;2012-02-01;1243;54.70
838;2012-03-01;1243;56.82
840;2012-03-10;19;65.10
841;2012-03-30;1243;56.95
842;2012-04-04;19;64.35
843;2012-04-12;69;24.65
844;2012-04-30;1243;56.52
845;2012-05-31;1243;54.90
848;2012-07-01;1243;54.45
850;2012-08-01;1243;56.09
851;2012-08-31;1243;58.32
852;2012-10-01;1243;58.40
853;2012-10-18;21;132.70
854;2012-10-18;764;3.32
855;2012-10-18;768;77.90
856;2012-10-31;1243;57.77
857;2012-11-09;21;128.78
858;2012-11-14;764;2.13
860;2012-11-23;18;69.24
861;2012-11-30;1243;56.67
866;2012-12-19;114;52.30
868;2012-12-19;26;61.10
870;2013-01-01;1243;58.00
871;2013-01-15;768;89.84
872;2013-01-28;768;92.95
873;2013-01-29;18;74.16
874;2013-02-01;1243;59.34
875;2013-03-01;1243;59.97
876;2013-03-05;862;1.00
877;2013-03-07;764;2.46
878;2013-03-07;800;1.39
882;2013-03-27;764;2.84
883;2013-03-27;800;1.59
884;2013-04-01;1243;62.00
885;2013-05-01;1243;61.89
886;2013-06-01;1243;64.45
887;2013-07-01;1243;62.11
889;2013-08-01;1243;63.60
890;2013-09-01;1243;63.48
891;2013-10-01;1243;64.97
892;2013-11-01;1243;64.98
893;2013-12-01;1243;66.30
894;2013-12-30;1243;66.16
895;2014-02-01;1243;66.29
896;2014-02-26;1243;68.01
897;2014-05-13;1243;74.28
898;2014-10-28;114;70.46
899;1998-09-08;1286;6.39
900;1998-09-17;1286;7.54
901;1998-09-18;1286;7.71
913;2000-03-26;1288;2.38
914;2000-03-31;1288;1.39
915;2000-04-05;1264;39.00
916;2000-05-04;1264;60.00
917;2000-06-19;168;63.50
918;2000-07-26;1289;0.53
919;2000-07-31;1289;0.46
920;2000-09-19;1290;21.00
921;2000-09-21;1290;53.60
922;2000-11-13;673;16.00
923;2000-12-27;1289;0.08
928;2001-09-19;1260;0.19
929;2001-10-04;1260;0.27
930;2001-11-13;168;18.35
931;2002-11-18;18;22.90
932;2002-11-18;128;19.95
933;2002-11-18;177;7.65
934;2002-11-25;177;8.31
935;2002-12-04;161;6.19
941;2003-02-28;640;0.09
942;2003-03-06;662;100.35
943;2003-03-21;640;0.16
944;2003-04-22;673;1.80
945;2003-07-21;646;1.75
946;2003-08-07;647;49.95
947;2003-08-22;646;1.50
949;2003-09-09;675;6.85
950;2003-09-10;647;55.50
953;2003-09-26;140;3.08
954;2003-09-30;140;3.95
955;2003-12-03;112;38.81
956;2004-01-28;653;0.90
960;2004-01-30;653;0.75
962;2004-02-05;112;40.09
968;2004-02-09;661;18.80
974;2004-02-18;381;28.66
975;2004-02-18;667;6.42
984;2004-03-29;112;38.33
986;2004-04-15;112;40.06
987;2004-06-22;1291;28.50
988;2004-07-12;662;100.00
989;2004-08-03;664;4.07
990;2004-08-03;678;7.34
991;2004-10-09;161;27.33
992;2004-10-16;664;4.23
993;2004-10-20;161;9.13
1003;2004-11-26;128;9.98
1004;2004-12-13;128;5.75
1005;2004-12-22;667;5.15
1006;2005-01-03;187;19.64
1007;2005-01-03;167;34.43
1008;2005-01-03;188;55.87
1009;2005-01-14;669;1.47
1010;2005-01-17;668;1.60
1011;2005-01-21;669;1.04
1012;2005-02-04;668;1.82
1013;2005-02-04;674;14.00
1014;2005-02-14;703;71.51
1015;2005-03-04;669;1.48
1025;2005-03-17;680;49.54
1026;2005-03-17;682;36.00
1027;2005-03-17;145;2.71
1029;2005-03-17;670;51.30
1034;2005-03-18;145;2.51
1040;2005-04-12;661;19.45
1043;2005-04-18;167;29.03
1062;2005-05-12;128;9.45
1064;2005-05-12;687;10.78
1065;2005-05-23;635;3.44
1066;2005-05-23;634;3.84
1068;2005-06-07;673;2.80
1069;2005-06-07;674;18.65
1070;2005-06-07;675;6.06
1071;2005-07-15;687;7.93
1072;2005-07-22;685;68.50
1075;2005-08-09;73;29.33
1077;2005-08-09;69;29.17
1078;2005-09-20;73;36.00
1079;2005-09-20;689;3.65
1080;2005-11-10;678;9.97
1081;2005-11-10;690;3.04
1084;2005-12-06;168;13.95
1085;2005-12-07;688;12.99
1086;2006-01-05;710;69.41
1087;2006-01-09;702;20.37
1088;2006-03-06;1035;68.93
1089;2006-03-06;1292;42.55
1090;2006-03-20;680;59.42
1091;2006-03-20;684;10.13
1092;2006-03-31;670;85.82
1093;2006-04-10;681;80.00
1094;2006-04-24;681;102.50
1095;2006-04-27;692;54.38
1096;2006-05-03;686;1.94
1097;2006-05-10;683;9.98
1098;2006-05-12;683;7.42
1100;2006-05-17;683;2.84
1101;2006-05-24;684;7.97
1102;2006-06-02;1293;126.01
1103;2006-06-16;634;5.00
1104;2006-06-16;635;5.00
1112;2006-07-14;686;0.62
1113;2006-08-02;145;1.88
1114;2006-08-03;687;4.00
1115;2006-08-03;145;1.91
1116;2006-08-12;688;10.30
1117;2006-08-12;386;26.52
1118;2006-08-14;1294;3.52
1119;2006-08-14;1295;3.19
1120;2006-12-01;689;4.98
1121;2006-12-01;975;3.79
1122;2006-12-01;690;4.97
1123;2006-12-01;704;3.35
1124;2006-12-07;693;0.61
1126;2006-12-12;691;1.50
1127;2006-12-12;692;40.26
1128;2006-12-15;692;41.50
1129;2006-12-15;388;3.49
1130;2006-12-15;700;3.63
1131;2006-12-15;701;3.74
1133;2006-12-19;691;1.33
1134;2006-12-19;693;0.75
1136;2006-12-21;693;0.54
1140;2007-01-15;698;0.70
1141;2007-01-15;695;2.42
1142;2007-01-15;697;1.40
1143;2007-01-22;753;121.90
1144;2007-01-24;695;1.29
1145;2007-02-06;685;80.98
1146;2007-02-14;682;40.81
1147;2007-02-23;697;1.01
1148;2007-02-26;698;0.80
1149;2007-02-26;693;0.81
1150;2007-02-27;388;3.64
1151;2007-02-27;700;3.75
1152;2007-02-27;701;3.87
1153;2007-02-27;702;53.13
1154;2007-02-27;703;120.31
1155;2007-02-27;187;35.40
1156;2007-02-27;704;3.97
1162;2007-03-01;685;90.00
1163;2007-03-01;706;3.31
1164;2007-03-01;707;3.08
1165;2007-03-05;706;2.97
